// Bloody Branch Summonable Monsters Database
//
// Structure of Database:
// MobRandomGroupID,MobID,DummyName,Rate

MOBG_Bloody_Dead_Branch,1647,Assassin Cross Eremes,500000
MOBG_Bloody_Dead_Branch,2319,Buwaya,500000
MOBG_Bloody_Dead_Branch,2238,Champion Chen,500000
MOBG_Bloody_Dead_Branch,2240,Clown Alphoccio,500000
MOBG_Bloody_Dead_Branch,2236,Creator Flamel,500000
MOBG_Bloody_Dead_Branch,2253,General Daehyun,500000
MOBG_Bloody_Dead_Branch,2251,Gioia,500000
MOBG_Bloody_Dead_Branch,2241,Gypsy Trentini,500000
MOBG_Bloody_Dead_Branch,1649,High Priest Magaleta,500000
MOBG_Bloody_Dead_Branch,1651,High Wizard Katrinn,500000
MOBG_Bloody_Dead_Branch,2255,Dark Guardian Kades,500000
MOBG_Bloody_Dead_Branch,2202,Kraken,500000
MOBG_Bloody_Dead_Branch,2156,Leak,500000
MOBG_Bloody_Dead_Branch,1646,Lord Knight Seyren,500000
MOBG_Bloody_Dead_Branch,2131,Lost Dragon,500000
MOBG_Bloody_Dead_Branch,2362,Nightmare Amon Ra,500000
MOBG_Bloody_Dead_Branch,2249,Angry Student Pyuriel,500000
MOBG_Bloody_Dead_Branch,2475,Root of Corruption,500000
MOBG_Bloody_Dead_Branch,1650,Sniper Cecil,500000
MOBG_Bloody_Dead_Branch,1648,Whitesmith Harword,500000
MOBG_Bloody_Dead_Branch,1751,Valkyrie Randgris,500000
MOBG_Bloody_Dead_Branch,1917,Wounded Morroc ,500000
MOBG_Bloody_Dead_Branch,25058,Priest Mummy,500000
MOBG_Bloody_Dead_Branch,25032,Hallowring,500000
MOBG_Bloody_Dead_Branch,25052,King Poring,500000
MOBG_Bloody_Dead_Branch,2996,Celine Kimi,500000
MOBG_Bloody_Dead_Branch,3074,Time Holder,500000
MOBG_Bloody_Dead_Branch,2564,Fenrir,500000
MOBG_Bloody_Dead_Branch,20618,Bone Detale,500000
MOBG_Bloody_Dead_Branch,20422,Contaminated Dark Lord,500000
MOBG_Bloody_Dead_Branch,3073,Gran Perre,500000
MOBG_Bloody_Dead_Branch,20421,Contaminated Spider Queen,500000
MOBG_Bloody_Dead_Branch,20273,Ancient Tao Gunka,500000
MOBG_Bloody_Dead_Branch,20419,Rigid Muspellskoll,500000
MOBG_Bloody_Dead_Branch,20381,R48-85-Bestia,500000
MOBG_Bloody_Dead_Branch,20260,Shining Teddy Bear,500000
MOBG_Bloody_Dead_Branch,3796,Awaken Ktullanux,500000
MOBG_Bloody_Dead_Branch,3757,Enraged Dracula,500000
MOBG_Bloody_Dead_Branch,3473,Stefan J.E Wolf,500000
